# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2445
#@/user_id	Win
ai 	爱	c=3 d=2.83244 t=2043
du zi 	肚子	c=1 d=0.0288686 t=2445
duan 	短	c=1 d=0.120633 t=2445
duan fa 	短发	c=1 d=0.0141931 t=2445
dui 	对	c=1 d=1 t=2301
dui fang 	对方	c=6 d=4.84705 t=2337
dui fang de 	对方的	c=1 d=1 t=2377
dui li 	对立	c=1 d=1 t=2116
dui shi 	对视	c=2 d=0.0344207 t=2445
dui yu 	对于	c=1 d=1 t=1467
dui zi ji 	对自己	c=1 d=1 t=2077
dun zai 	蹲在	c=1 d=0.379083 t=2445
duo 	多	c=2 d=1.15032 t=2156
duo ci 	多次	c=1 d=1 t=2397
duo ge 	多个	c=0 d=0.1 t=1992
duo ge bao 	多个包	c=1 d=1 t=1993
duo jiu 	多久	c=2 d=0.267135 t=2445
duo le 	多了	c=1 d=0.683861 t=2445
duo nian lai 	多年来	c=1 d=1 t=1812
duo shao qian 	多少钱	c=2 d=1.71892 t=1251
er 	而	c=7 d=0.515143 t=2445
er duo 	耳朵	c=1 d=0.017953 t=2445
er qie 	而且	c=1 d=1 t=2382
er wei 	而为	c=1 d=0.0361528 t=2445
fa jian 	发尖	c=1 d=0.0228227 t=2445
fa sheng 	发生	c=3 d=0.0561842 t=2445
fa sheng le 	发生了	c=2 d=0.0689297 t=2445
fa si 	发丝	c=1 d=0.0222592 t=2445
fa song zhe 	发送者	c=1 d=1 t=1979
fa xi si 	法西斯	c=1 d=0.909373 t=2445
fa zhan 	发展	c=1 d=0.0314298 t=2445
fan 	犯	c=1 d=1 t=2085
fan er 	反而	c=1 d=1 t=1645
fan shen 	翻身	c=2 d=0.0112012 t=2445
fan xing 	反省	c=1 d=1 t=2376
fan ying 	反应	c=1 d=0.00379148 t=2445
fang 	方	c=1 d=0.0473589 t=2445
fang fa 	方法	c=1 d=1 t=1243
fang fu 	仿佛	c=2 d=0.827879 t=2445
fang mian 	方面	c=1 d=1 t=2121
fang xiang 	芳香	c=1 d=0.0231676 t=2445
fang zai 	放在	c=1 d=1 t=1825
fang zhe 	放着	c=1 d=0.0934807 t=2445
fei 	肥	c=1 d=0.179964 t=2445
fei 	费	c=1 d=1 t=1148
fei chang da 	非常大	c=1 d=1 t=1514
fei teng 	沸腾	c=2 d=0.0764281 t=2445
fei zi 	肥子	c=4 d=1.33516 t=2445
fen 	分	c=1 d=0.0204453 t=2445
fen cheng 	分成	c=1 d=1 t=1992
fen lei 	分类	c=1 d=1 t=1533
fen nu 	愤怒	c=1 d=1 t=1703
fen pei 	分配	c=1 d=1 t=1970
feng ge 	风格	c=2 d=0.191559 t=2445
feng kuang 	疯狂	c=1 d=0.941765 t=2445
fo kai 	佛开	c=1 d=1 t=2445
fou 	否	c=1 d=1 t=2133
fu 	抚	c=1 d=0.00467746 t=2445
fu chu 	付出	c=2 d=1.79453 t=2169
fu he 	符合	c=1 d=1 t=2291
fu mu 	父母	c=1 d=1 t=1145
fu shi 	复式	c=3 d=1.86224 t=1412
fu za 	复杂	c=1 d=0.0682212 t=2445
fu ze 	负责	c=2 d=1.1437 t=1947
fu zhai 	负债	c=4 d=2.17351 t=1499
fu zhai biao 	负债表	c=1 d=1 t=1383
gai 	该	c=2 d=0.351692 t=2445
gan 	干	c=1 d=0.0333733 t=2445
gan dao 	感到	c=1 d=1 t=2316
gan jue 	感觉	c=2 d=0.0200146 t=2445
gan qing 	感情	c=1 d=0.0407622 t=2445
gan shen me 	干什么	c=2 d=0.918687 t=2445
gan shou dao 	感受到	c=1 d=1.04382 t=2366
gao 	高	c=1 d=1 t=2311
gao gao shou shou 	高高瘦瘦	c=1 d=0.171187 t=2445
gao su 	告诉	c=1 d=1 t=1385
gao su ni 	告诉你	c=1 d=1 t=1375
gao su wo 	告诉我	c=1 d=1 t=1585
gao zhong 	高中	c=3 d=2.47017 t=1840
ge 	个	c=1 d=1 t=1371
ge shi 	格式	c=1 d=1 t=1471
ge ti 	个体	c=1 d=1 t=2278
ge yang 	各样	c=1 d=1 t=1629
ge zhong 	各种	c=3 d=0.208008 t=2445
gei 	给	c=1 d=0.19593 t=2445
gei de 	给的	c=1 d=1 t=1146
gen 	根	c=1 d=0.0502874 t=2445
gen ben 	根本	c=1 d=0.0254765 t=2445
gen zhe 	跟着	c=1 d=0.346456 t=2445
geng 	更	c=3 d=0.0381969 t=2445
geng huan 	更换	c=1 d=0.216536 t=2445
geng kai fang 	更开放	c=1 d=1 t=1693
geng xin 	更新	c=1 d=0.985112 t=2445
gong shi 	公式	c=2 d=1.60957 t=1422
gong tong 	共同	c=2 d=1.42741 t=2343
gong zi 	工资	c=1 d=1 t=1299
gong zuo 	工作	c=1 d=1 t=1958
gou tong 	沟通	c=2 d=1.31349 t=2331
gu ji 	估计	c=2 d=0.452416 t=2445
gu ling ling 	孤零零	c=1 d=0.153355 t=2445
gu mo 	估摸	c=1 d=1 t=1766
gu nong 	咕哝	c=1 d=0.106992 t=2445
gu piao 	股票	c=1 d=1 t=1555
gu shi 	故事	c=1 d=1 t=2097
guan 	冠	c=0 d=0.00605068 t=2445
guan chuan 	贯穿	c=1 d=0.0265162 t=2445
guan li 	管理	c=2 d=1.11884 t=1922
guan li tang huang 	冠丽堂皇	c=1 d=0.0608101 t=2445
guan xi 	关系	c=4 d=3.16487 t=2208
guang dong 	广东	c=0 d=0.0491644 t=2445
gui hua 	规划	c=1 d=1 t=1484
gui li 	瑰丽	c=1 d=0.07502 t=2445
gui yu 	归于	c=1 d=0.00794669 t=2445
guo 	过	c=3 d=0.0433339 t=2445
guo jia 	国家	c=2 d=1.87372 t=1638
guo le 	过了	c=2 d=0.278774 t=2445
guo nei 	国内	c=2 d=1.80252 t=1650
guo nian 	过年	c=1 d=1 t=1152
guo wang 	过往	c=2 d=1.96561 t=1437
ha ha 	哈哈	c=1 d=1 t=2068
hai 	还	c=1 d=0.0347428 t=2445
hai bei 	还被	c=1 d=0.00644146 t=2445
hai sheng 	还剩	c=1 d=1 t=1184
hai shi 	还是	c=2 d=0.0963276 t=2445
hai you 	还有	c=2 d=0.162026 t=2445
hai zai 	还在	c=1 d=1 t=2413
hai zhan zai 	还站在	c=1 d=0.285076 t=2445
hang ye 	行业	c=1 d=1 t=1884
hao 	好	c=1 d=1 t=1793
hao ma 	号码	c=1 d=1 t=1985
hao sheng 	好生	c=1 d=0.0566989 t=2445
he 	呵	c=1 d=0.00980366 t=2445
he 	和	c=17 d=1.80071 t=2445
he ren 	和人	c=1 d=1 t=2139
he se 	褐色	c=1 d=0.0992613 t=2445
he wo 	和我	c=1 d=1 t=1728
he yue 	和月	c=1 d=1 t=1564
hei se 	黑色	c=1 d=0.690734 t=2445
hen 	很	c=1 d=1 t=2271
hen duo 	很多	c=5 d=1.20707 t=2445
hen ming xian 	很明显	c=1 d=1 t=1424
hen xi huan 	很喜欢	c=1 d=1 t=1672
hen zi hao 	很自豪	c=1 d=1 t=1828
heng 	横	c=1 d=0.00585769 t=2445
hong bao 	红包	c=1 d=1 t=1153
hong huang 	红黄	c=1 d=0.0645703 t=2445
hong se 	红色	c=2 d=0.16957 t=2445
hou 	后	c=1 d=0.107528 t=2445
hou mian 	后面	c=1 d=1 t=1540
hu lian wang 	互联网	c=5 d=4.37953 t=1965
hu xian 	弧线	c=1 d=0.537944 t=2445
hu xiang 	互相	c=1 d=1 t=2171
hua 	化	c=1 d=1 t=1356
hua chu 	滑出	c=1 d=0.00591656 t=2445
hua ji ke xiao 	滑稽可笑	c=1 d=1 t=1220
hua yu 	话语	c=1 d=1 t=2118
huai nian 	怀念	c=1 d=1 t=1223
huai yi 	怀疑	c=1 d=1 t=1635
huan 	换	c=1 d=1.09465 t=2176
huan 	缓	c=2 d=0.0190174 t=2445
huan huan 	缓缓	c=1 d=0.313486 t=2445
huan jing 	环境	c=1 d=1 t=1452
huan xiang 	幻想	c=1 d=1 t=2293
huang dong 	晃动	c=1 d=0.00433948 t=2445
huang le shen 	慌了神	c=1 d=0.00494193 t=2445
huang mo 	荒漠	c=1 d=0.00621991 t=2445
huang se 	黄色	c=2 d=0.143897 t=2445
hui 	会	c=4 d=0.253307 t=2445
hui fu le 	恢复了	c=1 d=0.0146253 t=2445
hui guo shen lai 	回过神来	c=1 d=0.0118551 t=2445
hui lai le 	回来了	c=1 d=0.00878245 t=2445
huo 	或	c=3 d=0.84455 t=2445
huo de 	获得	c=1 d=1 t=1680
huo le 	活了	c=1 d=1 t=1400
huo shi 	伙食	c=1 d=1 t=1147
huo zhe 	或者	c=1 d=1 t=1211
ji ben 	基本	c=3 d=0.67032 t=2445
ji chu 	基础	c=1 d=1 t=1906
ji ge 	几个	c=3 d=2.87912 t=1274
ji jin 	基金	c=1 d=1 t=1554
ji jing 	寂静	c=1 d=0.00856561 t=2445
ji lei 	积累	c=1 d=1 t=1746
ji lu 	记录	c=2 d=1.30119 t=1419
ji nian qian 	几年前	c=1 d=1 t=1826
ji shi 	即使	c=1 d=0.0356146 t=2445
ji suan ji 	计算机	c=1 d=1 t=1883
ji xu 	继续	c=1 d=0.319819 t=2445
ji zhang 	记账	c=12 d=4.28684 t=1570
ji zhang jiu shi 	记账就是	c=1 d=1 t=1350
jia ban 	加班	c=1 d=1 t=2414
jia ge 	价格	c=1 d=1 t=1192
jia ju 	家具	c=1 d=0.100761 t=2445
jia ru 	加入	c=1 d=1 t=1281
jia zhuang 	假装	c=1 d=0.321422 t=2445
jian 	间	c=3 d=0.0454393 t=2445
jian jie 	简介	c=1 d=0.0858632 t=2445
jian jie 	简洁	c=1 d=0.0862936 t=2445
jian kong 	监控	c=1 d=1 t=2438
jian le 	见了	c=0 d=0.0557106 t=2445
jian shao 	减少	c=1 d=1 t=1534
jiang 	将	c=2 d=1.81058 t=1990
jiang di 	降低	c=1 d=1.09501 t=2325
jiang di qi wang 	降低期望	c=1 d=1 t=2326
jiang hu 	糨糊	c=1 d=0.0297478 t=2445
jiang qi 	将其	c=1 d=1 t=1998
jiao 	脚	c=1 d=0.199888 t=2445
jiao hu 	交互	c=1 d=0.0262523 t=2445
jiao wang 	交往	c=2 d=1.52994 t=2267
jiao yu 	教育	c=1 d=1 t=1607
jiao zuo 	叫作	c=1 d=1 t=1245
jie chu 	接触	c=1 d=1 t=1622
jie jue 	解决	c=1 d=1 t=1587
jie shi 	结识	c=3 d=2.52207 t=1834
jie shi de 	结实的	c=1 d=1 t=1756
jie shou 	接受	c=1 d=1 t=2238
jie shou zhe 	接收者	c=1 d=1 t=1981
jie wei 	结尾	c=1 d=1 t=1469
jin 	今	c=1 d=1 t=1446
jin e 	金额	c=1 d=1 t=1395
jin jin 	紧紧	c=1 d=0.00701293 t=2445
jin ru dao 	进入到	c=1 d=1 t=1292
jin ru le 	进入了	c=1 d=0.826959 t=2445
jin tian 	今天	c=1 d=1 t=1408
jin xing 	进行	c=2 d=0.0185924 t=2445
jin zhang 	紧张	c=1 d=0.0317456 t=2445
jin zhou 	紧皱	c=1 d=0.0197421 t=2445
jing 	竟	c=1 d=0.202909 t=2445
jing 	靖	c=1 d=1 t=2066
jing da xi suan 	精打细算	c=1 d=1 t=1166
jing guo 	经过	c=1 d=1 t=2386
jing kong 	惊恐	c=1 d=0.543351 t=2445
jing li 	经理	c=1 d=1 t=1899
jing xiang 	镜像	c=2 d=1.9802 t=2426
jing xing 	惊醒	c=1 d=0.271173 t=2445
jiu 	就	c=7 d=1.16838 t=2445
jiu dian 	酒店	c=2 d=0.151687 t=2445
jiu hui 	就会	c=4 d=1.6141 t=2315
jiu hui gan shou dao 	就会感受到	c=1 d=1 t=2202
jiu ke yi le 	就可以了	c=1 d=1 t=1561
jiu le 	久了	c=1 d=1 t=1402
jiu lian 	就连	c=1 d=0.0720785 t=2445
jiu shi 	就是	c=5 d=0.810299 t=2445
jiu xiang 	就像	c=1 d=1 t=1982
jiu yao 	就要	c=1 d=0.00548905 t=2445
jiu you ren 	就有人	c=1 d=1 t=2348
jiu zai 	就在	c=6 d=0.489099 t=2445
jiu zhe me 	就这么	c=1 d=0.0125881 t=2445
ju gao lin xia 	居高临下	c=1 d=1 t=2227
ju jiao 	聚焦	c=1 d=0.0120946 t=2445
ju jin 	距今	c=1 d=1 t=1133
ju ju 	聚聚	c=1 d=1 t=1774
ju li 	距离	c=1 d=0.147342 t=2445
ju lie 	剧烈	c=1 d=0.00663763 t=2445
ju pa 	惧怕	c=1 d=1 t=1666
ju qi 	举起	c=2 d=1.44507 t=2445
jue da 	绝大	c=1 d=1 t=1870
jue de 	觉得	c=1 d=1 t=1714
jue dui 	绝对	c=1 d=0.00848038 t=2445
jun zhuang 	军装	c=1 d=0.767206 t=2445
kai 	开	c=1 d=0.865022 t=2445
kai fa 	开发	c=2 d=1.15961 t=1891
kai kou 	开口	c=1 d=0.00923273 t=2445
kai ming 	开明	c=1 d=1 t=2107
kai shi 	开始	c=14 d=2.36781 t=2445
kai xin 	开心	c=1 d=1 t=2190
kan 	看	c=3 d=0.291227 t=2445
kan dao 	看到	c=5 d=0.554939 t=2445
kan fa 	看法	c=1 d=1 t=1708
kan jian 	看见	c=1 d=0.0104099 t=2445
kan lai 	看来	c=1 d=1 t=1637
kan qi lai 	看起来	c=1 d=0.57695 t=2445
kan xiang 	看向	c=1 d=0.307279 t=2445
kan zhe 	看着	c=2 d=0.938569 t=2445
kan zhe ta 	看着他	c=2 d=1.35133 t=2445
kan zhe wo 	看着我	c=2 d=0.400722 t=2445
ke 	可	c=1 d=1 t=1130
ke fang 	客房	c=1 d=0.166127 t=2445
ke neng 	可能	c=1 d=1 t=1903
ke yi 	刻意	c=0 d=0.00357931 t=2445
ke yi 	可以	c=10 d=2.27095 t=2445
kong jian 	空间	c=2 d=0.134885 t=2445
kong zhi 	控制	c=6 d=0.759753 t=2445
kou 	口	c=1 d=0.280832 t=2445
kou gan she zao 	口干舌燥	c=2 d=0.0935414 t=2445
ku nao 	苦恼	c=1 d=1 t=2046
kua 	跨	c=2 d=0.0546481 t=2445
kuai 	块	c=2 d=1.96561 t=1316
kuai le 	快乐	c=1 d=1 t=2191
kuan rong 	宽容	c=1 d=1 t=2261
kuang re 	狂热	c=1 d=1 t=1657
kun yi 	困意	c=1 d=0.254107 t=2445
la qu 	拉取	c=1 d=1 t=2420
lai 	来	c=4 d=0.0478349 t=2445
lai dao le 	来到了	c=1 d=1 t=1306
lai kan 	来看	c=1 d=0.0441572 t=2445
lai le 	来了	c=1 d=0.0102549 t=2445
lai yuan 	来源	c=1 d=1 t=1143
lai yuan yu 	来源于	c=1 d=1 t=1286
lan qiu chang 	篮球场	c=1 d=0.145876 t=2445
lao ban 	老板	c=3 d=0.337682 t=2445
lao jiu 	老旧	c=1 d=0.0788664 t=2445
lao ren 	老人	c=1 d=0.585669 t=2445
le 	了	c=15 d=1.88439 t=2445
li 	丽	c=0 d=0.00605068 t=2445
li 	里	c=8 d=1.75774 t=2445
li bu kai 	离不开	c=1 d=1 t=2211
li jie 	理解	c=1 d=1 t=1262
li kai le 	离开了	c=1 d=0.125556 t=2445
li mian 	里面	c=1 d=0.224249 t=2445
li ru 	例如	c=3 d=2.35306 t=1476
li shi 	历史	c=2 d=1.96079 t=1137
li zhi 	理智	c=1 d=1 t=2355
lian 	脸	c=3 d=1.59017 t=2445
lian 	连	c=1 d=0.00759701 t=2445
lian ai 	恋爱	c=1 d=1 t=2087
lian shang 	脸上	c=5 d=1.3223 t=2445
lian xi 	联系	c=5 d=3.92871 t=1848
liang bian 	两边	c=1 d=0.511709 t=2445
liang dian 	两点	c=1 d=1 t=2216
liang duan 	两端	c=1 d=0.142274 t=2445
liang ge 	两个	c=4 d=0.196839 t=2445
liang ren 	两人	c=1 d=0.0205478 t=2445
liang se 	两色	c=1 d=0.064894 t=2445
liang tao 	两套	c=1 d=0.119433 t=2445
liang ze 	两则	c=1 d=1 t=2445
liao dong 	撩动	c=1 d=1 t=2380
ling 	另	c=1 d=0.172907 t=2445
ling 	零	c=1 d=1 t=1344
ling hua qian 	零花钱	c=1 d=1 t=1155
ling luan 	凌乱	c=1 d=0.0140519 t=2445
ling yi duan 	另一端	c=1 d=0.0893673 t=2445
liu dong 	流动	c=1 d=1 t=1277
liu shui zhang 	流水账	c=1 d=1 t=1246
