2026-02-06 09:10:31,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_丰台科技园_2026-02-06 08:07:34_北土城_2026-02-06 09:02:11,支出,6.00,花呗,交易成功,2026020622001453521447516529	,20260206090946459579	,,
2026-02-06 09:06:08,交通出行,北京公共交通控股（集团）有限公司,xcx***@163.com,北京公交-乘车时间：2026-02-06 09:06:06,支出,6.00,花呗,交易成功,2026020622001453521447498847	,30012602069228699613	,,
2026-02-06 04:23:23,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.05-收益发放,不计收支,1.52,余额宝,交易成功,20260206372514155521	,	,,
2026-02-05 22:06:47,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_永安里_2026-02-05 21:07:42_丰台科技园_2026-02-05 22:05:27,支出,5.00,花呗,交易成功,2026020522001453521446404663	,20260205220643867579	,,
2026-02-05 22:00:04,文化休闲,lo**3,lou***@163.com,[现货]Bandai/万代日本机动战士高达Z Chibi Q版毛绒玩偶挂件,支出,91.00,花呗,等待确认收货,2026020522001153521445985460	,T200P3229890098178585759	,,
2026-02-05 19:03:57,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_王府井_2026-02-05 18:48:37_永安里_2026-02-05 19:03:19,支出,3.00,花呗,交易成功,2026020522001453521447686757	,20260205190343782579	,,
2026-02-05 18:39:29,餐饮美食,北京三禾稻香村蛋糕店,/,王府井北京三禾稻香村店内购物,支出,212.00,花呗,交易成功,2026020523001453521445594201	,561266000048180000128117702879694080995855967106	,,
2026-02-05 18:14:47,餐饮美食,吴裕泰,wuy***@wuyutai.com,王府井购物,支出,1200.00,花呗,交易成功,2026020522001453521444561218	,W00005507202602051814463452	,,
2026-02-05 16:36:56,宠物,猫薄荷社区王府井银泰店,/,猫薄荷社区王府井银泰店,支出,34.00,花呗,交易成功,2026020523001453521445666911	,2612660000489000001000731607026036	,,
2026-02-05 16:21:12,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(4501969093020081702)扣款,支出,3.60,,交易成功,2026020510032004470297135225	,	,,
2026-02-05 15:04:27,餐饮美食,吴裕泰,wuy***@wuyutai.com,王府井购物,支出,390.00,花呗,交易成功,2026020522001453521444390013	,W00005503202602051504260181	,,
2026-02-05 14:47:54,餐饮美食,北京燕客餐饮有限公司,/,北京2店花茶,支出,120.00,花呗,交易成功,2026020522001453521446465407	,7312660000482200007895083647688931	,,
2026-02-05 12:47:04,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_天安门东_2026-02-05 12:41:14_王府井_2026-02-05 12:45:32,支出,3.00,花呗,交易成功,2026020522001453521443740534	,20260205124703501579	,,
2026-02-05 09:53:41,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260205001080012204520050824751	,	,,
2026-02-05 09:30:04,餐饮美食,庆丰包子铺南池子店,/,南池子店(APPLET202602050930000006),支出,46.32,花呗&碰一下立减,交易成功,2026020522001453521442506913	,8212660000483300037895211026229466	,,
2026-02-05 09:20:06,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_丰台科技园_2026-02-05 08:26:19_天安门东_2026-02-05 09:13:09,支出,5.00,花呗,交易成功,2026020522001453521443745957	,20260205091905541579	,,
2026-02-05 08:57:52,转账红包,何仲贤,/,钉钉零钱包-提现,收入,300.00,账户余额,交易成功,20260205110070001506670073082438	,20260205085752144001000079815823	,,
2026-02-05 08:06:40,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,22.00,花呗,交易成功,2026020522001453521443725761	,0001N202602050000000014316818166	,,
2026-02-05 04:21:28,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.04-收益发放,不计收支,1.52,余额宝,交易成功,20260205365548095521	,	,,
2026-02-04 12:09:09,退款,交通预订,gdj***@service.aliyun.com,退款-火车票订单,不计收支,71.00,花呗,退款成功,2026020423001453521438374555_uniq_IssueFailOrderClose	,061819641000002219105800	,,
2026-02-04 12:08:45,交通出行,交通预订,gdj***@service.aliyun.com,火车票订单,支出,71.00,花呗,交易关闭,2026020423001453521438374555	,061819641000002219105800	,,
2026-02-04 09:50:45,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260204001080012204520047530554	,	,,
2026-02-04 04:26:17,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.03-收益发放,不计收支,1.52,余额宝,交易成功,20260204357062828521	,	,,
2026-02-03 22:39:57,日用百货,北京安宇景成,/,北京安宇景成,支出,6.00,花呗,交易成功,2026020322001453521438422948	,4912660000489000008000746944026034	,,
2026-02-03 22:18:46,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_前门_2026-02-03 21:21:20_丰台科技园_2026-02-03 22:18:26,支出,5.00,花呗,交易成功,2026020322001453521439228989	,20260203221843406579	,,
2026-02-03 20:40:07,餐饮美食,三元梅园（前门店）,/,美团收银909700209160253341,支出,16.00,花呗,交易成功,2026020322001453521436873699	,7320180330024764010461368606364300470703917	,,
2026-02-03 19:40:08,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,40.07,花呗,交易成功,2026020322001453521440130752	,0001N202602030000000014333152775	,,
2026-02-03 19:16:37,餐饮美食,老爆三,/,美团收银909700209157458746,支出,74.80,花呗,交易成功,2026020323001453521437835744	,2520180330024764010461368606364002312403855	,,
2026-02-03 18:45:02,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_丰台科技园_2026-02-03 18:04:30_珠市口_2026-02-03 18:43:43,支出,5.00,花呗,交易成功,2026020322001453521436914159	,20260203184444042579	,,
2026-02-03 16:42:48,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_草桥_2026-02-03 16:11:05_大葆台_2026-02-03 16:42:18,支出,4.00,花呗,交易成功,2026020322001453521440018291	,20260203164243444579	,,
2026-02-03 16:10:50,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_大兴机场_2026-02-03 15:42:40_草桥_2026-02-03 16:10:04,支出,35.00,花呗,交易成功,2026020322001453521439659413	,20260203161046846579	,,
2026-02-03 09:52:15,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260203001080012204520044445643	,	,,
2026-02-03 04:31:37,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.02-收益发放,不计收支,1.51,余额宝,交易成功,20260203352130795521	,	,,
2026-02-02 19:19:15,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,136.83,花呗,交易成功,2026020222001453521433158892	,0001N202602020000000014292233879	,,
2026-02-02 18:25:25,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-02 18:10:54搭乘广州地铁,支出,2.00,花呗,交易成功,2026020222001453521436137512	,20260202182524134a503NOCT	,,
2026-02-02 11:03:02,充值缴费,中国电信,dzq***@chinatelecom-ec.com.cn,为19128907107话费充值,支出,100.00,花呗,交易成功,2026020222001453521431443930	,2026020200003100005266957272	,,
2026-02-02 10:04:41,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260202001080012204520041193700	,	,,
2026-02-02 08:23:28,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-02-02 08:09:20搭乘广州地铁,支出,2.00,花呗,交易成功,2026020222001453521431026873	,20260202082327103C329NOCT	,,
2026-02-02 05:22:17,投资理财,兴全基金管理有限公司,/,余额宝-2026.02.01-收益发放,不计收支,1.50,余额宝,交易成功,20260202345619712521	,	,,
2026-02-01 10:27:28,酒店旅游,广州**店,hdj***@service.aliyun.com,格菲北京市丰台区总部基地酒店格菲双床房郭公庄(地铁站)北京市,支出,1014.00,花呗,交易成功,2026020122001153521425848185	,T710P2701611086007020189	,,
2026-02-01 03:33:28,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.31-收益发放,不计收支,1.50,余额宝,交易成功,20260201338302805521	,	,,
2026-02-01 00:47:16,交通出行,飞猪**店,asl***@service.taobao.com,国内延误保障航段版,支出,194.00,花呗,交易成功,2026020122001153521427202880	,T200P3219936422972585759	,,
2026-02-01 00:47:16,交通出行,北京**服,aoy***@service.aliyun.com,机票订单付款{9194299682957|1_2_2026000513915476476},支出,5496.00,花呗,交易成功,2026020122001153521427604477	,T1400P3219936422971585759	,,
2026-02-01 00:47:15,酒店旅游,众安**店,za_***@zhongan.com,国内航空意外险,支出,264.00,花呗,交易成功,2026020122001153521428388599	,T200P3219936422973585759	,,
2026-01-31 20:27:42,餐饮美食,佛山市三水区鸿图居餐饮服务有限公司,/,佛山市三水区鸿图居餐饮服务有限公司,支出,183.00,花呗,交易成功,2026013122001453521427960499	,701266000048210001260131120461502256	,,
2026-01-31 15:15:16,收入,***蕤,158******36,command65 r2 经典色，三模。带自润构思者pcb卫,收入,600.00,,交易成功,2026013122001161471437275400	,T200P4501969093020081702	,,
2026-01-31 13:49:44,日用百货,三水时代城二期美宜佳,gdm***@163.com,美宜佳粤20676店,支出,3.50,花呗,交易成功,2026013123001453521425221184	,1cfb25dba34b444d9bbd33c60e248dc4	,,
2026-01-31 04:37:34,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.30-收益发放,不计收支,1.50,余额宝,交易成功,20260131329335506521	,	,,
2026-01-30 21:52:48,日用百货,智便利,/,总部-684169788888132601302152481563,支出,8.50,花呗,交易成功,2026013022001453521423910229	,761266000048180000684169788888132601302152481563	,,
2026-01-30 18:41:06,收入,***蕤,158******36,command65 r2 经典色，三模。带自润构思者pcb卫,收入,600.00,,交易关闭,2026013022001161471438158674	,T200P4501969274015018146	,,
2026-01-30 18:00:00,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-30 17:43:23搭乘广州地铁,支出,2.40,花呗,交易成功,2026013022001453521419520821	,202601301759591420312NOCT	,,
2026-01-30 09:22:17,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260130001080012204520033694598	,	,,
2026-01-30 08:10:48,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-30 07:56:07搭乘广州地铁,支出,2.40,花呗,交易成功,2026013022001453521418802541	,20260130081047129c596NOCT	,,
2026-01-30 04:18:16,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.29-收益发放,不计收支,1.51,余额宝,交易成功,20260130327018806521	,	,,
2026-01-29 18:13:04,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-29 17:57:30搭乘广州地铁,支出,2.40,花呗,交易成功,2026012922001453521416966845	,20260129181304118l800NOCT	,,
2026-01-29 09:53:56,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260129001080012204520030474486	,	,,
2026-01-29 08:13:06,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-29 07:56:48搭乘广州地铁,支出,2.40,花呗,交易成功,2026012922001453521417015231	,2026012908130599i095NOCT	,,
2026-01-29 03:44:35,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.28-收益发放,不计收支,1.51,余额宝,交易成功,20260129320182682521	,	,,
2026-01-28 18:23:39,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-28 18:08:40搭乘广州地铁,支出,2.40,花呗,交易成功,2026012822001453521413661275	,20260128182338103V714NOCT	,,
2026-01-28 09:51:30,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260128001080012204520027195925	,	,,
2026-01-28 08:10:22,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-28 07:55:23搭乘广州地铁,支出,2.40,花呗,交易成功,2026012822001453521410908929	,202601280810211191595NOCT	,,
2026-01-28 04:13:22,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.27-收益发放,不计收支,1.50,余额宝,交易成功,20260128313860304521	,	,,
2026-01-27 17:57:25,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-27 17:41:05搭乘广州地铁,支出,2.40,花呗,交易成功,2026012722001453521409767606	,202601271757241359123NOCT	,,
2026-01-27 09:50:28,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260127001080012204520024095022	,	,,
2026-01-27 08:19:36,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-27 08:01:34搭乘广州地铁,支出,2.40,花呗,交易成功,2026012722001453521407107077	,202601270819351324614NOCT	,,
2026-01-27 04:04:38,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.26-收益发放,不计收支,1.49,余额宝,交易成功,20260127306666876521	,	,,
2026-01-26 20:38:09,餐饮美食,钱大妈,qin***@qdama.cn,鲜黄牛牛肉等5件商品,支出,62.72,花呗,交易成功,2026012622001453521406099522	,986368975229198336	,,
2026-01-26 17:57:43,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-26 17:41:24搭乘广州地铁,支出,2.40,花呗,交易成功,2026012622001453521405886372	,20260126175741135l371NOCT	,,
2026-01-26 09:58:45,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260126001080012204520020748179	,	,,
2026-01-26 08:21:22,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-26 08:03:45搭乘广州地铁,支出,2.40,花呗,交易成功,2026012622001453521401960767	,20260126082121131x963NOCT	,,
2026-01-26 03:50:12,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.25-收益发放,不计收支,1.49,余额宝,交易成功,20260126395655639521	,	,,
2026-01-25 04:34:24,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.24-收益发放,不计收支,1.49,余额宝,交易成功,20260125394520612521	,	,,
2026-01-24 17:18:33,家居家装,佛山宜家家居有限公司,/,佛山宜家家居有限公司,支出,303.98,花呗,交易成功,2026012422001453521457337078	,29126600004802000020260124171832039941935626	,,
2026-01-24 14:16:29,交通出行,广东联合电子服务股份有限公司,/,通行费_ES010141060053053393260124141627,支出,10.00,花呗,交易成功,2026012423001453521454596225	,30P2088621728991856W02_002126012414162808384550	,,
2026-01-24 11:17:56,交通出行,佛山市广佛通电子收费营运有限公司,gft***@163.com,佛山公交-乘车时间:2026-01-24 11:17:49,支出,3.00,花呗,交易成功,2026012422001453521454426220	,00000000000000000000001729647757	,,
2026-01-24 04:34:35,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.23-收益发放,不计收支,1.50,余额宝,交易成功,20260124388274322521	,	,,
2026-01-23 19:25:11,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-23 19:08:07搭乘广州地铁,支出,2.40,花呗,交易成功,2026012322001453521454508732	,20260123192511132M345NOCT	,,
2026-01-23 09:22:29,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260123001080012204520013552509	,	,,
2026-01-23 08:03:12,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-23 07:48:01搭乘广州地铁,支出,2.80,花呗,交易成功,2026012322001453521453914611	,202601230803121303925NOCT	,,
2026-01-23 04:41:40,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.22-收益发放,不计收支,1.50,余额宝,交易成功,20260123382572315521	,	,,
2026-01-22 17:55:03,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-22 17:39:43搭乘广州地铁,支出,3.00,花呗,交易成功,2026012222001453521450636380	,20260122175502143t627NOCT	,,
2026-01-22 09:54:11,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260122001080012204520010680681	,	,,
2026-01-22 08:13:05,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-22 07:52:46搭乘广州地铁,支出,3.00,花呗,交易成功,2026012222001453521446808021	,20260122081304134N787NOCT	,,
2026-01-22 03:38:11,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.21-收益发放,不计收支,1.51,余额宝,交易成功,20260122371382176521	,	,,
2026-01-21 23:10:00,餐饮美食,my**店,myp***@thehutgroup.com,Myprotein己能 男士复合维生素240粒B族VC补锌补硒D钙片营养品vts,支出,97.41,花呗,交易成功,2026012122001153521444909722	,T2700P3199611217309585759	,,
2026-01-21 23:10:00,餐饮美食,on**店,onb***@jumbomart.cn,ON 奥普帝蒙 绿标一水肌酸粉100g/200g/360g肌酸男女健身粉,支出,115.42,花呗,交易成功,2026012122001153521445984286	,T200P3199611217308585759	,,
2026-01-21 23:10:00,服饰装扮,bo**店,min***@163.com,【重磅银狐绒】BODYDREAM冬季加绒裤男裤子随性vibe风运动休闲裤,支出,163.93,花呗,交易成功,2026012122001153521446360822	,T200P3199611217310585759	,,
2026-01-21 21:33:57,餐饮美食,钱大妈,qin***@qdama.cn,冬菇肉滑280g 1件,支出,7.52,花呗,交易成功,2026012122001453521443506202	,984571075935387648	,,
2026-01-21 17:52:29,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-21 17:39:53搭乘广州地铁,支出,3.00,花呗,交易成功,2026012122001453521446643939	,202601211752291801954NOCT	,,
2026-01-21 09:51:44,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260121001080012204520007806829	,	,,
2026-01-21 08:05:57,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-21 07:49:18搭乘广州地铁,支出,3.00,花呗,交易成功,2026012122001453521442877771	,20260121080556132I607NOCT	,,
2026-01-21 03:48:12,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.20-收益发放,不计收支,1.50,余额宝,交易成功,20260121368823296521	,	,,
2026-01-20 21:09:40,日用百货,日日升超市(建设一路店),ri_***@126.com,三水日日升1536511017117020364034210940,支出,27.64,花呗,交易成功,2026012022001453521439796994	,1536511017117020364034210940	,,
2026-01-20 18:18:04,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-20 18:01:35搭乘广州地铁,支出,3.00,花呗,交易成功,2026012022001453521442942333	,20260120181803178l784NOCT	,,
2026-01-20 18:04:44,母婴亲子,布鲁**店,blk***@putao.com,【优惠价】【新品】布鲁可变形金刚群星版至暗时刻正版擎天柱玩具收藏手办,支出,340.47,花呗分期(3期),交易成功,2026012022001153521442456285	,T200P3196643126843585759	,,
2026-01-20 09:20:17,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260120001080012204520004511242	,	,,
2026-01-20 08:17:10,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-20 07:58:34搭乘广州地铁,支出,3.00,花呗,交易成功,2026012022001453521438994660	,20260120081709125l150NOCT	,,
