# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3141
#@/user_id	MacOS
a 	啊	c=3 d=2.66065 t=2748
che 	车	c=1 d=1 t=2997
che che pi 	扯扯皮	c=1 d=0.0403566 t=3141
che mo 	车模	c=1 d=1.6453e-05 t=3141
che pi 	扯皮	c=0 d=0.00401553 t=3141
che shang 	车上	c=2 d=0.0316191 t=3141
che tou 	车头	c=1 d=0.00527382 t=3141
che zi 	车子	c=2 d=0.621885 t=3141
chen shan 	衬衫	c=0 d=0.00413782 t=3141
chen zhi long 	陈智龙	c=3 d=5.76704e-05 t=3141
cheng 	呈	c=2 d=0.150975 t=3141
cheng qi 	撑起	c=1 d=0.0135009 t=3141
cheng tian 	成田	c=1 d=1 t=2750
cheng wei 	成为	c=1 d=0.0230521 t=3141
cheng zhe 	撑着	c=1 d=0.0156858 t=3141
chi cun 	尺寸	c=1 d=1 t=2752
chi shen me 	吃什么	c=1 d=1 t=3140
chi xu 	持续	c=1 d=0.250324 t=3141
chong dian qi 	充电器	c=1 d=1.46657e-05 t=3141
chong fu 	重复	c=1 d=0.826959 t=3141
chong gui 	重归	c=1 d=0.00366107 t=3141
chong ming ming 	重命名	c=1 d=0.0141223 t=3141
chong shang 	冲上	c=1 d=0.054204 t=3141
chong shang 	崇尚	c=1 d=0.0153752 t=3141
chong xin 	重新	c=2 d=0.0265866 t=3141
chou 	抽	c=1 d=0.00941925 t=3141
chou lou 	丑陋	c=1 d=0.0184997 t=3141
chu 	出	c=4 d=0.822592 t=3141
chu ci 	除此	c=1 d=0.00159641 t=3141
chu dian 	触电	c=1 d=0.00506703 t=3141
chu fa 	出发	c=2 d=1.23693 t=2827
chu gan 	触感	c=2 d=0.0529235 t=3141
chu hao ji 	初号机	c=1 d=2.65893e-05 t=3141
chu lai 	出来	c=2 d=0.185866 t=3141
chu lai le 	出来了	c=1 d=0.054204 t=3141
chu le 	除了	c=1 d=0.00726273 t=3141
chu li 	处理	c=2 d=0.588835 t=3141
chu shi hua 	初始化	c=1 d=0.00522135 t=3141
chu xian 	出现	c=5 d=3.14956 t=3141
chu yu 	处于	c=1 d=0.145148 t=3141
chu zhong 	初中	c=4 d=0.358308 t=3141
chuan di dao 	传递到	c=1 d=0.0753961 t=3141
chuan lai 	传来	c=4 d=0.0466946 t=3141
chuan shang 	穿上	c=1 d=0.22313 t=3141
chuan shu 	传输	c=3 d=0.263543 t=3141
chuan zhe 	穿着	c=1 d=0.763379 t=3141
chuang jian 	创建	c=2 d=0.0193714 t=3141
chuang shang 	床上	c=1 d=0.826959 t=3141
chun 	春	c=1 d=2.01965e-05 t=3141
chun 	纯	c=1 d=1 t=2886
chun you 	唇釉	c=1 d=1.7646e-05 t=3141
ci dai 	磁带	c=1 d=2.17695e-05 t=3141
ci fang 	次方	c=2 d=1.97531 t=2802
ci ke 	此刻	c=2 d=0.0581014 t=3141
ci shi 	此时	c=4 d=1.01138 t=3141
ci yu 	词语	c=1 d=0.207008 t=3141
ci zhi 	辞职	c=1 d=1 t=2927
cong 	从	c=9 d=0.620354 t=3141
cong bu 	从不	c=0 d=2.80927e-06 t=3141
cong rong 	从容	c=1 d=0.0528657 t=3141
cong wo 	从我	c=0 d=0.00428521 t=3141
cong wo de 	从我的	c=1 d=0.0430669 t=3141
cong xia zhi shang 	从下至上	c=1 d=0.0434998 t=3141
cun zai 	存在	c=3 d=0.773079 t=3141
cuo wu 	错误	c=1 d=0.179066 t=3141
da an 	答案	c=1 d=1 t=2804
da ban 	大阪	c=6 d=3.18836 t=2921
da bu dao 	达不到	c=1 d=0.519442 t=3141
da da 	大大	c=1 d=0.532592 t=3141
da dang 	搭档	c=1 d=3.88812e-05 t=3141
da di tan 	大地毯	c=1 d=0.0632918 t=3141
da duo shu 	大多数	c=1 d=0.0295994 t=3141
da er duo 	大耳朵	c=1 d=0.65377 t=3141
da gai 	大概	c=2 d=0.144424 t=3141
da he ji 	大合集	c=2 d=5.58675e-05 t=3141
da jia 	大家	c=2 d=0.566847 t=3141
da jian 	搭建	c=1 d=0.514274 t=3141
da kai 	打开	c=3 d=0.905272 t=3141
da liang 	大量	c=1 d=0.767206 t=3141
da quan ji 	大全集	c=1 d=1.4962e-05 t=3141
da suan 	打算	c=3 d=2.586 t=3141
da ting 	大厅	c=2 d=0.168752 t=3141
da tui 	大腿	c=1 d=0.0500366 t=3141
da xue 	大学	c=1 d=0.559898 t=3141
da xue shi qi 	大学时期	c=1 d=0.0317456 t=3141
da yan 	大眼	c=1 d=0.529935 t=3141
da yue 	大约	c=1 d=0.0026852 t=3141
dai li 	代理	c=4 d=1.94099 t=3141
dai you 	带有	c=1 d=0.00219846 t=3141
dan 	但	c=10 d=0.878587 t=3141
dan 	单	c=1 d=0.196912 t=3141
dan bu 	但不	c=0 d=0.0324652 t=3141
dan bu hui 	但不会	c=1 d=0.32628 t=3141
dan dan 	淡淡	c=2 d=0.180231 t=3141
dan fan 	但凡	c=1 d=0.0397558 t=3141
dan shi 	但是	c=6 d=1.36221 t=3141
dan shou 	单手	c=1 d=0.951229 t=3141
dan wei 	单位	c=1 d=0.255381 t=3141
dan wo 	但我	c=1 d=0.0253494 t=3141
dan wo men 	但我们	c=1 d=0.0500366 t=3141
dan xiao 	胆小	c=1 d=0.0206508 t=3141
dan you 	但有	c=1 d=0.0780817 t=3141
dang qian 	当前	c=1 d=0.00180897 t=3141
dang ran 	当然	c=3 d=0.159473 t=3141
dang rang 	当让	c=1 d=0.0071546 t=3141
dang shi 	当时	c=1 d=0.640824 t=3141
dang wo 	当我	c=1 d=0.128735 t=3141
dao 	到	c=12 d=1.67474 t=3141
dao 	道	c=1 d=0.0117371 t=3141
dao chu 	导出	c=2 d=1.06173 t=3011
dao di 	到底	c=2 d=0.249243 t=3141
dao dian 	到点	c=1 d=1 t=2870
dao le 	到了	c=1 d=0.0495388 t=3141
dao li 	道理	c=1 d=0.0101529 t=3141
dao shi hou 	到时候	c=1 d=1 t=2966
dao xia 	倒下	c=1 d=0.00680566 t=3141
dao zhi 	导致	c=2 d=0.763387 t=3141
de 	地	c=4 d=0.403522 t=3141
de 	得	c=2 d=0.043776 t=3141
de 	的	c=183 d=15.1285 t=3141
de chen shan 	的衬衫	c=1 d=0.0415857 t=3141
de guo 	德国	c=1 d=0.904837 t=3141
de le 	的了	c=1 d=1 t=2491
de ma 	的吗	c=1 d=1 t=2737
de qian 	的钱	c=0 d=0.000275318 t=3141
de shi 	的事	c=1 d=0.00215492 t=3141
de shi 	的是	c=1 d=0.008396 t=3141
de yi mian 	的一面	c=1 d=0.362402 t=3141
deng 	瞪	c=1 d=0.0335406 t=3141
deng 	等	c=2 d=0.932394 t=3141
deng 	邓	c=2 d=3.68143e-05 t=3141
deng dai 	等待	c=1 d=0.157237 t=3141
deng lan tao 	邓蓝涛	c=4 d=0.000102062 t=3141
deng lu 	登录	c=4 d=1.304 t=3141
di 	地	c=1 d=0.0206508 t=3141
di fang 	地方	c=1 d=0.0241131 t=3141
di qu 	地区	c=1 d=1 t=2656
di se 	底色	c=1 d=0.0658748 t=3141
di shang 	地上	c=1 d=0.231078 t=3141
di shi ni 	迪士尼	c=1 d=0.895834 t=3141
di tan 	地毯	c=1 d=0.0639279 t=3141
di yi ge meng 	第一个梦	c=1 d=0.0581343 t=3141
di zhi 	地址	c=7 d=0.97531 t=3141
dian 	点	c=6 d=1.18321 t=3141
dian che 	电车	c=2 d=0.0117558 t=3141
dian hua 	电话	c=1 d=0.0997588 t=3141
dian nao 	电脑	c=1 d=1 t=3098
dian ti 	电梯	c=6 d=0.922463 t=3141
dian ti kou 	电梯口	c=1 d=0.139457 t=3141
dian wan 	电玩	c=1 d=3.86873e-05 t=3141
diao 	掉	c=1 d=0.00571306 t=3141
diao hei 	吊嘿	c=2 d=0.263161 t=3141
ding 	定	c=1 d=2.41796e-05 t=3141
ding 	订	c=2 d=1.97045 t=2702
ding lun 	定论	c=1 d=1 t=2847
ding lv 	定律	c=2 d=1.69073 t=2861
ding shi 	定时	c=2 d=1.83527 t=3042
ding yue 	订阅	c=1 d=1 t=2783
ding zi ku 	丁字裤	c=1 d=3.69849e-05 t=3141
dong 	动	c=1 d=0.0323869 t=3141
dong hua 	动画	c=1 d=0.913931 t=3141
dong jing 	东京	c=6 d=0.727899 t=3141
dong li 	动力	c=1 d=0.00782838 t=3141
dong wu 	动物	c=2 d=0.556521 t=3141
dong xi 	东西	c=5 d=0.289384 t=3141
dou 	都	c=16 d=1.33894 t=3141
dou bu shi 	都不是	c=1 d=7.31927e-06 t=3141
dou hui 	都会	c=5 d=1.58201 t=3141
dou ke yi 	都可以	c=2 d=1.07101 t=3135
dou kou 	豆蔻	c=1 d=1.71245e-05 t=3141
dou mei you 	都没有	c=2 d=0.873072 t=3141
dou shi 	都是	c=5 d=0.640926 t=3141
dou shi yong 	都是用	c=1 d=0.0972957 t=3141
dou xu yao 	都需要	c=1 d=0.00166156 t=3141
dou zai 	都在	c=2 d=0.0400251 t=3141
dou zi 	豆子	c=5 d=0.0149875 t=3141
du 	度	c=1 d=0.722527 t=3141
du bo 	赌博	c=0 d=2.80927e-06 t=3141
du bo shi cong bu qi dao 	赌博师从不祈祷	c=1 d=2.82335e-05 t=3141
du hou 	读后	c=1 d=0.0238732 t=3141
du li 	独立	c=1 d=0.429557 t=3141
du zi 	肚子	c=1 d=0.0288686 t=3141
duan 	短	c=1 d=0.120633 t=3141
duan 	端	c=1 d=1 t=3086
duan fa 	短发	c=1 d=0.0141931 t=3141
dui 	对	c=3 d=0.991123 t=3141
dui fang 	对方	c=6 d=2.82461 t=3141
dui fang de 	对方的	c=1 d=0.71177 t=3141
dui kong 	对空	c=1 d=2.30004e-05 t=3141
dui li 	对立	c=1 d=0.193013 t=3141
dui shi 	对视	c=2 d=0.0344207 t=3141
dui yu 	对于	c=1 d=0.00752142 t=3141
dui zi ji 	对自己	c=1 d=0.158817 t=3141
dun he lu 	敦和路	c=1 d=0.571209 t=3141
dun zai 	蹲在	c=1 d=0.379083 t=3141
duo 	多	c=3 d=0.941879 t=3141
duo ce 	多册	c=1 d=2.64567e-05 t=3141
duo ci 	多次	c=1 d=0.786628 t=3141
duo ge 	多个	c=0 d=0.010383 t=3141
duo ge bao 	多个包	c=1 d=0.10435 t=3141
duo ge ren 	多个人	c=1 d=1.17108e-05 t=3141
duo jiu 	多久	c=2 d=0.267135 t=3141
duo le 	多了	c=1 d=0.683861 t=3141
duo nian lai 	多年来	c=1 d=0.0422141 t=3141
duo shao 	多少	c=1 d=1 t=2806
duo shao qian 	多少钱	c=2 d=0.00439054 t=3141
er 	而	c=7 d=0.515143 t=3141
er duo 	耳朵	c=1 d=0.017953 t=3141
er hao ji 	二号机	c=1 d=2.60628e-05 t=3141
er qie 	而且	c=2 d=0.729789 t=3141
er shi wu 	二十五	c=1 d=0.588605 t=3141
er wei 	而为	c=1 d=0.0361528 t=3141
fa jian 	发尖	c=1 d=0.0228227 t=3141
fa sheng 	发生	c=3 d=0.0561842 t=3141
fa sheng le 	发生了	c=2 d=0.0689297 t=3141
fa si 	发丝	c=1 d=0.0222592 t=3141
fa song zhe 	发送者	c=1 d=0.0972957 t=3141
fa xi si 	法西斯	c=1 d=0.909373 t=3141
fa zhan 	发展	c=1 d=0.0314298 t=3141
fan 	犯	c=1 d=0.165299 t=3141
fan er 	反而	c=1 d=0.0183156 t=3141
fan shen 	翻身	c=2 d=0.0112012 t=3141
fan xiang 	反向	c=1 d=1 t=3008
fan xing 	反省	c=1 d=0.70822 t=3141
fan ying 	反应	c=1 d=0.00379148 t=3141
fan zhi 	反之	c=1 d=5.55951e-06 t=3141
fan zhi yi ran 	反之亦然	c=1 d=5.58738e-06 t=3141
fang 	方	c=1 d=0.0473589 t=3141
fang an 	方案	c=1 d=1 t=2585
fang fa 	方法	c=1 d=0.00245409 t=3141
fang fu 	仿佛	c=2 d=0.827879 t=3141
fang mian 	方面	c=1 d=0.197899 t=3141
fang wen 	访问	c=2 d=0.156455 t=3141
fang xiang 	芳香	c=1 d=0.0231676 t=3141
fang zai 	放在	c=1 d=0.0450492 t=3141
fang zhe 	放着	c=1 d=0.0934807 t=3141
fei 	肥	c=1 d=0.179964 t=3141
fei 	费	c=1 d=0.00152616 t=3141
fei 	飞	c=1 d=1.06561 t=2585
fei chang da 	非常大	c=1 d=0.00951391 t=3141
fei ji 	飞机	c=1 d=1 t=2589
fei ji bei 	飞机杯	c=1 d=2.51664e-05 t=3141
fei qu 	飞去	c=1 d=1 t=2521
fei teng 	沸腾	c=2 d=0.0764281 t=3141
fei yi 	飞翼	c=1 d=2.05018e-05 t=3141
fei yi tian 	飞一天	c=1 d=1 t=2586
fei zi 	肥子	c=4 d=1.33516 t=3141
fen 	分	c=1 d=0.631284 t=3141
fen bie 	分别	c=1 d=1.28779e-05 t=3141
fen cheng 	分成	c=1 d=0.10383 t=3141
fen kai 	分开	c=1 d=1 t=2735
fen lei 	分类	c=1 d=0.0104621 t=3141
fen nu 	愤怒	c=1 d=0.0244775 t=3141
fen pei 	分配	c=1 d=0.0930145 t=3141
fen se 	粉色	c=1 d=3.71703e-05 t=3141
feng ge 	风格	c=2 d=0.191559 t=3141
feng kuang 	疯狂	c=1 d=0.941765 t=3141
fo kai 	佛开	c=1 d=1 t=3141
fou 	否	c=1 d=0.210136 t=3141
fu 	抚	c=1 d=0.00467746 t=3141
fu chu 	付出	c=2 d=0.451465 t=3141
fu he 	符合	c=1 d=0.463013 t=3141
fu mu 	父母	c=1 d=0.00150344 t=3141
fu shi 	复式	c=3 d=0.0106391 t=3141
fu wu qi 	服务器	c=1 d=1 t=2677
fu yu 	赋予	c=1 d=1.01301e-05 t=3141
fu za 	复杂	c=1 d=0.0682212 t=3141
fu ze 	负责	c=2 d=0.0948241 t=3141
fu zhai 	负债	c=4 d=0.0191844 t=3141
fu zhai biao 	负债表	c=1 d=0.00494193 t=3141
fu zhi 	复制	c=1 d=1 t=3115
fu zhong 	负重	c=1 d=1 t=2602
gai 	该	c=2 d=0.351692 t=3141
gan 	干	c=1 d=0.0333733 t=3141
gan 	感	c=2 d=1.79248e-05 t=3141
gan 	赶	c=1 d=0.244424 t=2981
gan dao 	感到	c=1 d=0.524663 t=3141
gan jue 	感觉	c=2 d=0.0200146 t=3141
gan qing 	感情	c=1 d=0.0407622 t=3141
gan shen me 	干什么	c=2 d=0.918687 t=3141
gan shou dao 	感受到	c=1 d=0.703201 t=3141
gang 	钢	c=1 d=2.45451e-05 t=3141
gao 	高	c=2 d=0.511709 t=3141
gao da 	高达	c=1 d=3.66169e-05 t=3141
gao gao shou shou 	高高瘦瘦	c=1 d=0.171187 t=3141
gao su 	告诉	c=2 d=0.29391 t=3141
gao su ni 	告诉你	c=1 d=0.00474815 t=3141
gao su wo 	告诉我	c=1 d=0.0135686 t=3141
gao zhong 	高中	c=3 d=0.119946 t=3141
ge 	个	c=1 d=0.00465413 t=3141
ge shi 	格式	c=2 d=0.0517966 t=3141
ge ti 	个体	c=1 d=0.433874 t=3141
ge yang 	各样	c=1 d=0.0169075 t=3141
ge zhong 	各种	c=3 d=0.208008 t=3141
gei 	给	c=3 d=1.45974 t=3141
gei de 	给的	c=1 d=0.00151098 t=3141
gei ni 	给你	c=3 d=1.62213 t=2972
gei wo 	给我	c=2 d=0.101774 t=3141
gei zi ji 	给自己	c=1 d=0.680451 t=3141
gen 	根	c=1 d=0.0502874 t=3141
gen ben 	根本	c=1 d=0.0254765 t=3141
gen zhe 	跟着	c=1 d=0.346456 t=3141
geng 	更	c=3 d=0.0381969 t=3141
geng guo 	更过	c=1 d=1 t=2493
geng hao 	更好	c=1 d=1 t=2612
geng huan 	更换	c=2 d=0.216536 t=3141
geng kai fang 	更开放	c=1 d=0.0232837 t=3141
geng xin 	更新	c=5 d=2.70071 t=3141
gong ju 	工具	c=3 d=1.81926 t=2732
gong li 	公历	c=1 d=0.625002 t=3141
gong neng 	功能	c=1 d=1 t=3023
gong shi 	公式	c=6 d=0.743394 t=3141
gong tong 	共同	c=2 d=0.857153 t=3141
gong zai 	公仔	c=3 d=8.94726e-05 t=3141
gong zi 	工资	c=1 d=0.00324708 t=3141
gong zuo 	工作	c=1 d=0.0875977 t=3141
gou shi 	狗屎	c=1 d=1 t=2489
gou tong 	沟通	c=2 d=0.742812 t=3141
gou xiang 	构想	c=1 d=0.50409 t=3141
gu diao 	骨雕	c=0 d=2.60628e-06 t=3141
gu fu 	古夫	c=1 d=3.01297e-05 t=3141
gu ji 	估计	c=3 d=0.452416 t=3141
gu ling ling 	孤零零	c=1 d=0.153355 t=3141
gu mo 	估摸	c=1 d=0.0335406 t=3141
gu nong 	咕哝	c=1 d=0.106992 t=3141
gu piao 	股票	c=1 d=0.0116786 t=3141
gu shi 	故事	c=1 d=0.17552 t=3141
gua jian 	挂件	c=2 d=3.62204e-05 t=3141
guan 	冠	c=0 d=0.00605068 t=3141
guan bi 	关闭	c=1 d=1 t=3065
guan chuan 	贯穿	c=1 d=0.0265162 t=3141
guan hou gan 	观后感	c=1 d=1 t=2687
guan li 	管理	c=2 d=0.081863 t=3141
guan li tang huang 	冠丽堂皇	c=1 d=0.0608101 t=3141
guan xi 	关系	c=4 d=0.967647 t=3141
guan xi 	关西	c=4 d=3.07594 t=2913
guan xin 	关心	c=0 d=0.0882497 t=3141
guang dong 	广东	c=1 d=0.581641 t=3141
guang hui 	光辉	c=1 d=3.53575e-05 t=3141
guang zhou 	广州	c=2 d=1.18825 t=2833
gui hua 	规划	c=1 d=0.0081887 t=3141
gui li 	瑰丽	c=1 d=0.07502 t=3141
gui yu 	归于	c=1 d=0.00794669 t=3141
guo 	果	c=1 d=1.81834e-05 t=3141
guo 	过	c=3 d=0.0433339 t=3141
guo jia 	国家	c=2 d=0.033138 t=3141
guo le 	过了	c=2 d=0.278774 t=3141
guo nei 	国内	c=2 d=0.0338501 t=3141
guo nian 	过年	c=1 d=0.00155699 t=3141
guo wang 	过往	c=2 d=0.0127249 t=3141
guo ye 	过夜	c=1 d=1 t=2615
ha ha 	哈哈	c=1 d=0.151829 t=3141
hai 	还	c=3 d=0.588468 t=3141
hai bei 	还被	c=1 d=0.00644146 t=3141
hai cha 	还差	c=1 d=1 t=2476
hai dao 	海盗	c=1 d=3.64343e-05 t=3141
hai jun lan 	海军蓝	c=1 d=1.67017e-05 t=3141
hai mei 	还没	c=1 d=1.0802 t=2854
hai mei qing 	还没请	c=1 d=1 t=2855
hai sheng 	还剩	c=1 d=0.00182715 t=3141
hai shi 	还是	c=6 d=0.58632 t=3141
hai xu yao 	还需要	c=0 d=1.30725e-06 t=3141
hai yang tang 	海洋堂	c=1 d=2.67226e-05 t=3141
hai yao 	还要	c=1 d=1 t=2596
hai you 	还有	c=2 d=0.162026 t=3141
hai zai 	还在	c=1 d=0.852144 t=3141
hai zhan zai 	还站在	c=1 d=0.285076 t=3141
han xiu cao 	含羞草	c=1 d=1.68696e-05 t=3141
hang 	行	c=1 d=2.59329e-05 t=3141
hang ye 	行业	c=1 d=0.0605068 t=3141
hao 	号	c=3 d=0.726149 t=3141
hao 	好	c=1 d=0.0383884 t=3141
hao 	昊	c=1 d=3.77321e-05 t=3141
hao de 	好的	c=1 d=1 t=3139
hao kan 	好看	c=1 d=1 t=2695
hao ma 	号码	c=3 d=0.230994 t=3141
hao sheng 	好生	c=1 d=0.0566989 t=3141
hao xiang 	好像	c=1 d=1 t=2495
hao yong 	好用	c=1 d=1 t=2728
